,APOGEE_ID,source_id,LOGG,TEFF,MG_FE,FE_H_1,C_FE,N_FE,G,BP,RP,J,H,K,LOGG_ERR,TEFF_ERR,MG_FE_ERR,FE_H_ERR,C_FE_ERR,N_FE_ERR,G_ERR,BP_ERR,RP_ERR,J_ERR,H_ERR,K_ERR,age,age_68U,age_68L,ageErr,logAge,logAgeErr,distKpc,distKpc_68U,distKpc_68L,distErrKpc,logDistKpc,logDistKpcErr
2164,2M19415408+4335055,2078097356126936448,2.9199910163879395,4898.54833984375,0.0372547060251236,-0.20349155366420746,-0.016185998916625977,0.15918000042438507,11.075297355651855,11.604260444641113,10.391085624694824,9.489999771118164,9.00100040435791,8.885000228881836,0.06573902070522307,89.02568817138672,0.011146122589707376,0.008014485239982605,0.013135052286088468,0.02014971151947975,0.0001696280003338213,0.0005453196199922684,0.0002932240115927076,0.019999999552965164,0.01899999938905239,0.012000000104308128,3.6813,4.584,2.9174,0.8332999999999997,0.5660012108277142,0.09812431517023444,0.8283132000000001,0.8404349,0.8165449,0.011944999999999994,-0.08180541766862133,0.006262004024776857
1009,2M19192830+4316363,2102811834894721280,2.467978000640869,4781.79931640625,0.10148169100284576,-0.3395715355873108,0.034539997577667236,0.1729399859905243,12.538758277893065,13.086633682250975,11.84183120727539,10.902999877929688,10.366999626159668,10.262999534606934,0.06337510794401169,100.1076889038086,0.01538053434342146,0.010675274766981602,0.01788819208741188,0.026142237707972527,0.0001712469174908193,0.0006509701998247407,0.00043429627001212445,0.020999999716877937,0.017999999225139618,0.010999999940395357,7.2501,8.6103,5.9745,1.3179000000000003,0.8603439967983978,0.0793583589684686,2.0486958,2.0724573,2.0251159,0.02367070000000001,0.3114774770984894,0.005017853902663183
1198,2M19232598+4527252,2127403134003334528,2.9333996772766118,4807.77734375,0.04654170572757721,-0.08296655118465424,0.014680802822113037,0.2713940143585205,12.771040916442873,13.334324836730955,12.060863494873047,11.125,10.597000122070312,10.461999893188477,0.060295909643173225,94.06179809570312,0.012371932156383993,0.00874844565987587,0.013142055831849577,0.019923955202102658,0.00015590050142844092,0.0006862208834446103,0.0002704702693157035,0.020999999716877937,0.019999999552965164,0.010999999940395357,4.2997,5.4216,3.4277,0.9969499999999998,0.6334381549075575,0.09956233407283838,1.5131954,1.5349947,1.4910770000000002,0.02195884999999987,0.17989501240021133,0.006303404532402884
1394,2M19271049+3908441,2052788728759419008,2.4597597122192383,4855.10546875,0.02657368779182434,-0.14659154415130615,-0.04226800799369812,0.11917999386787415,10.257549285888672,10.8538236618042,9.521904945373537,8.555000305175781,7.966000080108643,7.908999919891357,0.04108649864792824,87.2468490600586,0.0107226287946105,0.007696481421589851,0.012018082663416862,0.0185996163636446,0.00017242617526891382,0.0004046757206244145,0.00020382970096322062,0.027000000700354576,0.03400000184774399,0.017999999225139618,3.6215,4.2944,3.0549,0.6197500000000002,0.5588884895367345,0.07395274783281575,0.7951401,0.8021974000000001,0.7879525,0.007122450000000015,-0.09955634392676677,0.003890606137641951
589,2M19081825+4015596,2100601709145022336,2.898353815078736,4654.30224609375,0.05616670846939087,0.3424484431743622,0.020788311958312992,0.34446004033088684,12.92565631866455,13.61750030517578,12.12903881072998,11.074000358581543,10.50100040435791,10.366000175476074,0.05329210683703423,77.52427673339844,0.007989180274307728,0.005818364210426807,0.00634263176470995,0.010576291009783743,0.00016042503164226396,0.0005247674844210959,0.00026849540857076803,0.020999999716877937,0.02199999988079071,0.019999999552965164,4.691,5.8559,3.7584,1.04875,0.6712654329471583,0.09629532616128783,1.5374012,1.560398,1.5153048999999998,0.022546549999999912,0.18678721571671086,0.006367678696930848
768,2M19123799+4656309,2130788186707241728,2.5811288356781006,4683.662109375,0.009797703474760056,-0.04459654912352562,-0.01830699667334557,0.2040280103683472,12.828243255615234,13.402962684631348,12.112447738647461,11.1899995803833,10.619999885559082,10.501999855041504,0.058193229138851166,88.1607437133789,0.011464755050837994,0.008123292587697506,0.010949426330626013,0.01706081442534924,0.0001697082943630246,0.0006337712398973848,0.0004284795715625567,0.020999999716877937,0.02199999988079071,0.010999999940395357,5.4388,6.3834,4.0448,1.1692999999999998,0.7355030888770603,0.09907750350381328,2.2869916,2.3165315,2.2568359,0.029847800000000008,0.3592645694688615,0.005669114228044503
17,2M18442845+4651265,2119188407752253184,2.6987013816833496,4683.55419921875,0.011082295328378677,0.03600945323705673,-0.02577900141477585,0.2786400020122528,11.217766761779783,11.780762672424315,10.50960636138916,9.538000106811523,9.050000190734863,8.916000366210938,0.05613268166780472,90.97193145751952,0.011829356662929058,0.0083600664511323,0.010929051786661148,0.016946952790021896,0.00014787708689789625,0.0006165540686298153,0.00032178491992329583,0.020999999716877937,0.020999999716877937,0.010999999940395357,5.5869,7.0021,4.3152,1.3434500000000005,0.7471708979868227,0.10511368985533398,1.0033301,1.0197273999999998,0.9879161,0.01590564999999998,0.0014438413182798688,0.006882012881983753
1042,2M19200956+4148050,2101852785878417408,3.146313190460205,5010.19921875,-0.030220299959182736,0.01572044938802719,-0.08849800378084183,0.3741009831428528,12.183919906616213,12.68976879119873,11.522199630737305,10.680999755859377,10.178999900817873,10.090999603271484,0.06385631114244461,90.68167114257812,0.010346027091145515,0.007631403394043446,0.011920088902115822,0.018585434183478355,0.00013812720707329085,0.000586250942682387,0.0002684375099248904,0.020999999716877937,0.017999999225139618,0.017999999225139618,1.8341,2.2649,1.489,0.3879499999999999,0.2634230108673853,0.09107716701204012,1.3134604,1.3337118,1.2956867,0.019012550000000038,0.11841698361562834,0.0062809963861545715
1447,2M19281556+3840132,2052711758645440896,2.903884172439575,4660.69921875,0.040524691343307495,0.30286845564842224,0.04833599925041199,0.3705300390720368,11.937987327575685,12.590167045593262,11.16766357421875,10.138999938964844,9.571000099182127,9.434000015258787,0.05386362224817276,77.96070861816406,0.008139084093272686,0.0059188762679696074,0.006582788657397032,0.010929344221949577,0.00012003217369382925,0.0006592916976744245,0.00024471992057129016,0.020999999716877937,0.02199999988079071,0.017999999225139618,6.2013,7.9289,5.0699,1.4295,0.7924827416989977,0.09710677362104864,0.9346601,0.9482040999999999,0.9215096,0.013347250000000031,-0.029346296648774608,0.006200982468608079
2476,2M19472104+4227387,2077186685622052096,2.772463083267212,4748.43701171875,-0.04178430140018463,0.0846264511346817,0.053494006395339966,0.2456220239400864,10.771628379821776,11.352978706359865,10.050542831420898,9.088000297546387,8.53600025177002,8.395999908447267,0.0582091175019741,82.0015640258789,0.00918565224856138,0.00662615057080984,0.00862307474017143,0.013847042806446552,0.00021547558073042872,0.0007976686465993588,0.0004988436537889385,0.024000000208616257,0.020999999716877937,0.0130000002682209,3.7795,4.2847,3.5075,0.3886000000000001,0.5774343496774877,0.04346136990652338,1.0112253,1.0194323,1.0034597,0.007986300000000028,0.0048479267541129524,0.003429227169296895
285,2M19004471+3836399,2100133252769956224,3.001814365386963,4777.22802734375,0.04368969798088074,0.15328845381736755,0.027717605233192444,0.2445099949836731,9.995409965515137,10.542574882507324,9.300843238830566,8.423000335693361,7.915999889373778,7.776000022888184,0.057772740721702576,82.32046508789062,0.008963997475802898,0.006487611215561628,0.008397186174988747,0.0135073009878397,0.00014629171655733408,0.00031438495136870687,0.00019090716668945795,0.020999999716877937,0.03400000184774399,0.028999999165534977,5.6935,7.3,4.6238,1.3380999999999998,0.7553793249859367,0.09916190973881768,0.4036663,0.4097371,0.397411,0.006163049999999998,-0.3939775060639323,0.0066327027296034504
