APOGEE_ID,source_id,LOGG,TEFF,ALPHA_M,M_H,C_FE,N_FE,G,BP,RP,J,H,K,LOGG_ERR,TEFF_ERR,ALPHA_M_ERR,M_H_ERR,C_FE_ERR,N_FE_ERR,G_ERR,BP_ERR,RP_ERR,J_ERR,H_ERR,K_ERR,age,age_68U,age_68L,ageErr,logAge,logAgeErr,distKpc,distKpc_68U,distKpc_68L,distErrKpc,logDistKpc,logDistKpcErr
2M19150115+4210347,2102321761947360512,2.7613556385040283,4698.7265625,0.0070409998297691345,0.20872844755649567,0.044712990522384644,0.3148699700832367,12.26104736328125,12.851850509643555,11.53538703918457,10.5600004196167,10.057999610900879,9.890000343322754,0.0561068169772625,79.90750885009766,0.005609726533293724,0.005570523906499147,0.007588110398501158,0.012381097301840782,0.00013418002174137023,0.000630108639091409,0.0003025112650212325,0.02199999988079071,0.019999999552965164,0.014000000432133675,4.3165,5.4331,3.4514,0.9908499999999998,0.6351317452471764,0.09852620191678818,1.4687031,1.4898935,1.4471047000000001,0.021394399999999904,0.16693401153995827,0.006327635697329775
2M19150200+4051584,2102094334838237056,2.911332130432129,4793.3212890625,0.0023919977247714996,-0.05425554886460304,0.026270996779203415,0.17829300463199615,12.236005783081055,12.78654670715332,11.538556098937988,10.645000457763672,10.10099983215332,10.01200008392334,0.06166969984769821,84.73626708984375,0.006750945933163166,0.006492952816188335,0.010538982227444649,0.016548236832022667,0.00014732929874083922,0.0004542785747441158,0.0002737126568175263,0.017999999225139618,0.020999999716877937,0.017999999225139618,6.7525,8.4426,5.3088,1.5669000000000004,0.8294645928594885,0.10073992453909703,1.2647043,1.2837573,1.2464074,0.018674949999999968,0.10198899516389552,0.006411453714385208
2M19150275+4125281,2102218815871666816,2.8529415130615234,4628.607421875,-0.011213000863790512,0.3168284595012665,0.040834009647369385,0.23262998461723328,12.609075546264648,13.229304313659668,11.86202335357666,10.90999984741211,10.33899974822998,10.211000442504883,0.05108790844678879,89.4534683227539,0.006407443899661303,0.0068762032315135,0.008598758839070797,0.013680004514753819,0.00013517122235295886,0.0007229565588884324,0.0002575208555166686,0.01899999938905239,0.02199999988079071,0.017999999225139618,7.6397,9.421,6.0954,1.6627999999999998,0.8830763047926199,0.09454739654310779,1.4149249,1.4341792,1.3947616,0.019708799999999995,0.15073338941427167,0.006051718778090617
2M19150344+4111550,2102119550585140224,2.836160659790039,4746.318359375,-0.024418700486421585,0.18922844529151917,0.0052075982093811035,0.31922000646591187,12.345664978027344,12.910802841186523,11.639982223510742,10.710000038146973,10.166000366210938,10.074999809265137,0.05471401661634445,93.08460235595703,0.006992538459599018,0.007312779780477285,0.010499526746571064,0.01625317893922329,0.00014512330066107637,0.0005713555173847418,0.00025872734451093393,0.017999999225139618,0.020999999716877937,0.017000000923871994,4.3301,5.4301,3.4451,0.9925000000000002,0.6364979261332046,0.09880299749755628,1.4231551,1.4451205999999999,1.4011996,0.021960500000000025,0.1532522334669309,0.006702043609973507
2M19150447+4214485,2102327912340566656,2.604060173034668,4712.5234375,0.1749590039253235,-0.35387155413627625,0.1491899937391281,0.07170897722244263,13.041193008422852,13.5953950881958,12.338105201721191,11.434000015258789,10.857000350952148,10.755000114440918,0.06214800104498863,99.88324737548828,0.010014057159423828,0.009992020204663277,0.017731813713908195,0.025975026190280914,0.00015338967975675466,0.0006037853594975662,0.0003474507669409821,0.023000000044703484,0.019999999552965164,0.014000000432133675,9.4309,12.1268,7.4989,2.3139499999999997,0.9745531398616978,0.10437432643795463,2.0603808,2.0917176,2.0278224,0.031947599999999965,0.3139474941822823,0.006736567264257143
2M19150827+4029347,2101334224404935808,2.57779598236084,4639.65283203125,0.045285001397132874,-0.09041054546833038,0.014195002615451813,0.0673380047082901,10.621943473815918,11.197071075439453,9.904340744018555,8.961000442504883,8.39900016784668,8.300000190734863,0.059829067438840866,80.77718353271484,0.0066403839737176895,0.006410080939531326,0.009486445225775242,0.015207696706056595,0.00011350576146873514,0.00045837074811760914,0.00029389757183584386,0.019999999552965164,0.020999999716877937,0.01600000075995922,8.9713,10.8022,6.8391,1.9815499999999995,0.9528553797128354,0.09925662996126583,0.7407619999999999,0.7507668,0.7307184999999999,0.01002415000000002,-0.13032130442223414,0.005877478242407988
2M19150855+4550474,2127334002210073216,2.895569086074829,4652.79248046875,-0.016155000776052475,0.28867843747138977,0.0658319890499115,0.24079996347427368,11.371268272399902,11.950779914855957,10.655567169189453,9.689000129699707,9.182999610900879,9.055000305175781,0.05427456274628639,78.04376220703125,0.005286280065774918,0.005310172215104103,0.006758963223546743,0.011199424974620342,0.00019347590733409525,0.0007109794085624621,0.00035020915622463455,0.02199999988079071,0.020999999716877937,0.010999999940395355,7.5052,9.4654,6.0954,1.6850000000000005,0.8753622698956188,0.09556838045322019,0.7787825,0.7897719999999999,0.7667255000000001,0.011523249999999962,-0.10858381606164136,0.00643091255688729
2M19150915+4743573,2130920643499859968,2.6017909049987793,4846.41845703125,-0.002569001168012619,0.0703994482755661,-0.006797000765800476,0.2269049882888794,13.047532081604004,13.585028648376465,12.359108924865723,11.470999717712402,10.947999954223633,10.848999977111816,0.04101172462105751,97.70186614990234,0.007774861063808203,0.008026842027902603,0.012878657318651676,0.01946915127336979,0.00016413306877516298,0.0009893683112249807,0.0005529316721519795,0.023000000044703484,0.020999999716877937,0.014000000432133675,2.1837,2.2641,2.0701,0.09699999999999998,0.33919297409965665,0.01945213967557291,3.1457261,3.1658281,3.1248555000000002,0.020486300000000027,0.4977209056880615,0.002828695074927584
2M19151118+4758001,2130959122107983488,2.8838748931884766,4970.22119140625,0.05504100024700165,-0.4085315465927124,0.048647016286849976,0.1373400092124939,12.161917686462402,12.643186569213867,11.51666259765625,10.67199993133545,10.175000190734863,10.083000183105469,0.07009536027908325,96.88035583496094,0.009393171407282352,0.008859465830028057,0.01842501573264599,0.027215804904699326,0.0001431849728750212,0.0008033647856253712,0.0002903597714476458,0.023000000044703484,0.026000000536441803,0.019999999552965164,3.7548,4.6742,3.0549,0.80965,0.5745868091938181,0.09235514629475955,1.4503069,1.4723495,1.4305395,0.020904999999999972,0.16145991318204989,0.0062555295844209935
2M19151355+4306241,2102749128373703296,2.8235316276550293,4940.345703125,0.061497002840042114,-0.5305415391921997,0.042227983474731445,0.11369597911834717,10.802388191223145,11.281327247619629,10.156380653381348,9.314000129699707,8.836999893188477,8.722000122070312,0.07272554934024811,93.47156524658203,0.00945249479264021,0.008640345185995102,0.018653372302651405,0.027597984299063683,0.00010454100454082571,0.0004618838627457045,0.00021234826382943162,0.02500000037252903,0.023000000044703484,0.014000000432133675,6.325,7.8484,5.0699,1.38925,0.8010605298478556,0.09489086790987994,0.7691275000000001,0.7806957,0.7591367,0.010779499999999985,-0.11400166025504084,0.006080899841289761
